Date,Count,Date,Census_Tracts,PoliceDistrict
2018-12-30,51,2018-12-30,1002.0,Eastern
2019-01-06,11,2019-01-06,1002.0,Eastern
2013-07-07,106,2013-07-07,905.0,Northern
2013-07-14,103,2013-07-14,905.0,Northern
2013-07-21,82,2013-07-21,905.0,Northern
2013-07-28,120,2013-07-28,905.0,Northern
2013-08-04,86,2013-08-04,905.0,Northern
2013-08-11,100,2013-08-11,905.0,Northern
2013-08-18,62,2013-08-18,905.0,Northern
2013-08-25,96,2013-08-25,905.0,Northern
2013-09-01,105,2013-09-01,905.0,Northern
2013-09-08,86,2013-09-08,905.0,Northern
2013-09-15,98,2013-09-15,905.0,Northern
2013-09-22,76,2013-09-22,905.0,Northern
2013-09-29,85,2013-09-29,905.0,Northern
2013-10-06,99,2013-10-06,905.0,Northern
2013-10-13,87,2013-10-13,905.0,Northern
2013-10-20,73,2013-10-20,905.0,Northern
2013-10-27,48,2013-10-27,905.0,Northern
2013-11-03,71,2013-11-03,905.0,Northern
2013-11-10,74,2013-11-10,905.0,Northern
2013-11-17,53,2013-11-17,905.0,Northern
2013-11-24,73,2013-11-24,905.0,Northern
2013-12-01,56,2013-12-01,905.0,Northern
2013-12-08,88,2013-12-08,905.0,Northern
2013-12-15,49,2013-12-15,905.0,Northern
2013-12-22,79,2013-12-22,905.0,Northern
2013-12-29,52,2013-12-29,905.0,Northern
2014-01-05,41,2014-01-05,905.0,Northern
2014-01-12,59,2014-01-12,905.0,Northern
2014-01-19,65,2014-01-19,905.0,Northern
2014-01-26,59,2014-01-26,905.0,Northern
2014-02-02,61,2014-02-02,905.0,Northern
2014-02-09,57,2014-02-09,905.0,Northern
2014-02-16,63,2014-02-16,905.0,Northern
2014-02-23,76,2014-02-23,905.0,Northern
2014-03-02,65,2014-03-02,905.0,Northern
2014-03-09,68,2014-03-09,905.0,Northern
2014-03-16,100,2014-03-16,905.0,Northern
2014-03-23,86,2014-03-23,905.0,Northern
2014-03-30,66,2014-03-30,905.0,Northern
2014-04-06,71,2014-04-06,905.0,Northern
2014-04-13,71,2014-04-13,905.0,Northern
2014-04-20,71,2014-04-20,905.0,Northern
2014-04-27,69,2014-04-27,905.0,Northern
2014-05-04,92,2014-05-04,905.0,Northern
2014-05-11,63,2014-05-11,905.0,Northern
2014-05-18,71,2014-05-18,905.0,Northern
2014-05-25,97,2014-05-25,905.0,Northern
2014-06-01,66,2014-06-01,905.0,Northern
2014-06-08,85,2014-06-08,905.0,Northern
2014-06-15,125,2014-06-15,905.0,Northern
2014-06-22,96,2014-06-22,905.0,Northern
2014-06-29,105,2014-06-29,905.0,Northern
2014-07-06,94,2014-07-06,905.0,Northern
2014-07-13,83,2014-07-13,905.0,Northern
2014-07-20,79,2014-07-20,905.0,Northern
2014-07-27,87,2014-07-27,905.0,Northern
2014-08-03,87,2014-08-03,905.0,Northern
2014-08-10,66,2014-08-10,905.0,Northern
2014-08-17,64,2014-08-17,905.0,Northern
2014-08-24,74,2014-08-24,905.0,Northern
2014-08-31,75,2014-08-31,905.0,Northern
2014-09-07,67,2014-09-07,905.0,Northern
2014-09-14,65,2014-09-14,905.0,Northern
2014-09-21,65,2014-09-21,905.0,Northern
2014-09-28,75,2014-09-28,905.0,Northern
2014-10-05,75,2014-10-05,905.0,Northern
2014-10-12,65,2014-10-12,905.0,Northern
2014-10-19,57,2014-10-19,905.0,Northern
2014-10-26,69,2014-10-26,905.0,Northern
2014-11-02,76,2014-11-02,905.0,Northern
2014-11-09,57,2014-11-09,905.0,Northern
2014-11-16,74,2014-11-16,905.0,Northern
2014-11-23,61,2014-11-23,905.0,Northern
2014-11-30,41,2014-11-30,905.0,Northern
2014-12-07,68,2014-12-07,905.0,Northern
2014-12-14,72,2014-12-14,905.0,Northern
