STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Police_district_x,district
24,510,150701,24510150701,1507.01,1507.01,G5020,S,858015,117437,39.3193302,-76.6678344,Northwestern,7.0
24,510,150600,24510150600,1506,1506.0,G5020,S,959035,0,39.309080200000004,-76.6687936,Southwestern,7.0
24,510,150500,24510150500,1505,1505.0,G5020,S,949477,9673,39.3222425,-76.6601005,Western,7.0
24,510,150400,24510150400,1504,1504.0,G5020,S,815572,0,39.3124588,-76.6527287,Western,7.0
24,510,150300,24510150300,1503,1503.0,G5020,S,399172,0,39.307030100000006,-76.655067,Western,7.0
24,510,130300,24510130300,1303,1303.0,G5020,S,359731,0,39.3123572,-76.6406686,Western,7.0
24,510,130600,24510130600,1306,1306.0,G5020,S,872125,3815,39.3264635,-76.6304217,Northern,7.0
24,510,130803,24510130803,1308.03,1308.03,G5020,S,693566,0,39.34025020000001,-76.64336429999999,Northern,7.0
24,510,130804,24510130804,1308.04,1308.04,G5020,S,737978,0,39.3312836,-76.6384027,Northern,7.0
24,510,150200,24510150200,1502,1502.0,G5020,S,420325,0,39.306366100000005,-76.6480486,Western,7.0
24,510,140300,24510140300,1403,1403.0,G5020,S,389282,0,39.307809899999995,-76.6361904,Central,7.0
24,510,150100,24510150100,1501,1501.0,G5020,S,369345,0,39.306167200000004,-76.6417556,Central,7.0
24,510,130400,24510130400,1304,1304.0,G5020,S,2612954,203955,39.32259620000001,-76.64487170000001,Northern,7.0
24,510,160300,24510160300,1603,1603.0,G5020,S,255076,0,39.298572799999995,-76.6444023,Western,7.0
24,510,150702,24510150702,1507.02,1507.02,G5020,S,391519,0,39.3128159,-76.66787509999999,Southwestern,7.0
24,510,130100,24510130100,1301,1301.0,G5020,S,301238,0,39.3152325,-76.6343935,Central,7.0
24,510,151200,24510151200,1512,1512.0,G5020,S,777390,0,39.3310266,-76.6599142,Northwestern,7.0
24,510,250101,24510250101,2501.01,2501.01,G5020,S,962784,0,39.2771141,-76.7003721,Southwestern,8.0
24,510,250102,24510250102,2501.02,2501.02,G5020,S,737636,0,39.277339500000004,-76.69019159999999,Southwestern,8.0
24,510,280301,24510280301,2803.01,2803.01,G5020,S,3228556,7610,39.31066320000001,-76.7022121,Southwestern,8.0
24,510,280404,24510280404,2804.04,2804.04,G5020,S,848958,0,39.2878046,-76.6917566,Southwestern,8.0
24,510,280403,24510280403,2804.03,2804.03,G5020,S,1831350,0,39.285990500000004,-76.7033384,Southwestern,8.0
24,510,280401,24510280401,2804.01,2804.01,G5020,S,1645634,0,39.2970477,-76.7022192,Southwestern,8.0
24,510,160801,24510160801,1608.01,1608.01,G5020,S,389703,0,39.298094,-76.6840558,Southwestern,8.0
24,510,160802,24510160802,1608.02,1608.02,G5020,S,1226587,0,39.3002221,-76.6796308,Southwestern,8.0
24,510,280302,24510280302,2803.02,2803.02,G5020,S,956019,12640,39.316668299999996,-76.6953197,Northwestern,8.0
24,510,280200,24510280200,2802,2802.0,G5020,S,2413240,0,39.327411100000006,-76.70161390000001,Northwestern,8.0
24,510,200800,24510200800,2008,2008.0,G5020,S,1067262,0,39.28017620000001,-76.6793608,Southwestern,8.0
24,510,200702,24510200702,2007.02,2007.02,G5020,S,288171,0,39.2847467,-76.6755998,Southwestern,8.0
24,510,200701,24510200701,2007.01,2007.01,G5020,S,1203683,0,39.2900137,-76.68070329999999,Southwestern,8.0
24,510,280402,24510280402,2804.02,2804.02,G5020,S,561712,0,39.2992263,-76.6903724,Southwestern,8.0
24,510,190200,24510190200,1902,1902.0,G5020,S,282075,0,39.284972700000004,-76.6401704,Southern,9.0
24,510,200600,24510200600,2006,2006.0,G5020,S,1770698,30330,39.284012,-76.6637324,Southwestern,9.0
24,510,200500,24510200500,2005,2005.0,G5020,S,671226,0,39.280496,-76.6538423,Southwestern,9.0
24,510,160200,24510160200,1602,1602.0,G5020,S,374068,0,39.298715,-76.6408488,Western,9.0
24,510,160700,24510160700,1607,1607.0,G5020,S,953875,14242,39.3020563,-76.6686304,Southwestern,9.0
24,510,190100,24510190100,1901,1901.0,G5020,S,383127,0,39.2912223,-76.64185440000001,Western,9.0
24,510,180100,24510180100,1801,1801.0,G5020,S,341616,0,39.291711799999995,-76.6307804,Western,9.0
24,510,180300,24510180300,1803,1803.0,G5020,S,289563,0,39.287308200000005,-76.6329977,Southern,9.0
24,510,160600,24510160600,1606,1606.0,G5020,S,558111,0,39.2967421,-76.66401090000001,Western,9.0
24,510,200400,24510200400,2004,2004.0,G5020,S,387906,0,39.2856222,-76.6558429,Southwestern,9.0
24,510,200300,24510200300,2003,2003.0,G5020,S,238680,0,39.2840961,-76.64820909999999,Southern,9.0
24,510,200200,24510200200,2002,2002.0,G5020,S,925146,0,39.2908648,-76.6588372,Southwestern,9.0
24,510,160500,24510160500,1605,1605.0,G5020,S,1036560,0,39.2993805,-76.65558270000001,Western,9.0
24,510,180200,24510180200,1802,1802.0,G5020,S,234701,0,39.2914657,-76.6361389,Western,9.0
24,510,200100,24510200100,2001,2001.0,G5020,S,264900,0,39.2909656,-76.6478189,Western,9.0
24,510,190300,24510190300,1903,1903.0,G5020,S,375717,0,39.2839729,-76.6444254,Southern,9.0
24,510,160400,24510160400,1604,1604.0,G5020,S,401142,0,39.2981335,-76.6481618,Western,9.0
